구분,세부구분,디타워본점,울산지점,건설정보지점,글래드마포,논산지점,여수지점,보은지점,현장사무소(김해대동물류센터),현장사무소(루시아),합계
Scope 1,고정연소,28.898,,,1266.026,107.541,,,5.497,,1407.962
Scope 1,이동연소,99.865,,,,,,,,,99.865
Scope 1,공정배출,,,,,,,,,,0.000
Scope 1,폐기물,,,,,,,,,,0.000
Scope 1,이산화탄소 포집 및 이동,,,,,,,,,,0.000
Scope 1,탈루배출,,,,,,,,,,0.000
Scope 1,합계,128.763,,0.000,1266.026,107.541,0.000,0.000,5.497,0.000,1507.827
Scope 2,전기 사용,152.598,,1094.930,857.511,1029.409,2.076,7.647,121.389,126.370,3391.930
Scope 2,증기 사용,,,,,,,,,,0.000
Scope 2,합계,152.598,,1094.930,857.511,1029.409,2.076,7.647,121.389,126.370,3391.930
Scope 3,C1 상품 및 서비스 구입,87999.493,,,,,,,,,87999.493
Scope 3,C2 자본재 구입,,,,,,,,,,0.000
Scope 3,C3 연료 및 에너지 관련 활동,729.579,,,,,,,,,729.579
Scope 3,C4 업스트림 운송 및 유통,0.000,3449.293,,,,18326.430,,,,21775.723
Scope 3,C5 생산 관련 폐기물,29.117,,,,49.454,,,,,78.571
Scope 3,C6 업무용 출장,252.571,,,,,,,,,252.571
Scope 3,"C7 임직원 출퇴근, 재택근무",395.484,,,,,,,,,395.484
Scope 3,C8 업스트림 리스 및 렌탈,,,,,,,,,,0.000
Scope 3,C9 다운스트림 운송 및 유통,,,,,,,,,,0.000
Scope 3,C10 판매된 반제품의 가공,,,,,,,,,,0.000
Scope 3,C11 판매된 완제품의 사용,,,,,,,,,,0.000
Scope 3,C12 판매된 완제품의 폐기,,,,,,,,,,0.000
Scope 3,C13 다운스트림 리스 및 렌탈,,,,,,,,,,0.000
Scope 3,C14 프랜차이즈,,,,,,,,,,0.000
Scope 3,C15 투자자산,,,,,,,,,,0.000
Scope 3,합계,89406.244,3449.293,0.000,0.000,49.454,18326.430,0.000,0.000,0.000,111231.421
총합계,,89687.605,3449.293,1094.930,2123.537,1186.404,18328.506,7.647,126.886,126.370,116131.178
